Source,Event ID,Holding Register Address,bit,
BMS,200,40132,0,1
BMS,201,40132,1,2
BMS,202,40132,2,4
BMS,203,40132,3,8
BMS,204,40132,4,16
BMS,205,40132,5,32
BMS,206,40132,6,64
BMS,207,40132,7,128
BMS,226,40132,8,256
BMS,208,40132,9,512
BMS,209,40132,10,1024
BMS,227,40132,11,2048
BMS,210,40133,0,1
BMS,211,40133,1,2
BMS,212,40133,2,4
BMS,213,40133,3,8
BMS,214,40133,4,16
BMS,215,40133,5,32
BMS,216,40133,6,64
BMS,217,40133,7,128
BMS,218,40133,8,256
BMS,219,40133,9,512
BMS,220,40133,10,1024
BMS,221,40133,11,2048
BMS,222,40133,12,4096
BMS,223,40133,13,8192
BMS,224,40133,14,16384
BMS,225,40133,15,32768
PCS,400,40182,0,1
PCS,402,40182,3,8
PCS,303,40182,4,16
PCS,304,40182,5,32
PCS,407,40182,6,64
PCS,404,40182,7,128
PCS,405,40182,8,256
PCS,409,40182,9,512
PCS,410,40182,10,1024
PCS,411,40182,11,2048
PCS,412,40182,12,4096
PCS,413,40182,13,8192
PCS,414,40182,14,16384
PCS,415,40182,15,32768
PCS,416,40183,0,1
PCS,417,40183,1,2
PCS,418,40183,2,4
PCS,419,40183,3,8
PCS,434,40183,4,16
PCS,420,40183,5,32
PCS,421,40183,7,128
PCS,435,40183,8,256
PCS,422,40183,10,1024
PCS,431,40183,11,2048
PCS,432,40183,12,4096
PCS,426,40183,13,8192
PCS,433,40183,14,16384
